lr-Adam,lr-Adam-1,step,aeloss_step,train/total_loss,train/logvar,train/kl_loss,train/nll_loss,train/rec_loss,train/d_weight,train/disc_factor,train/g_loss,discloss_step,train/disc_loss,train/logits_real,train/logits_fake,epoch,aeloss_epoch,discloss_epoch,val/rec_loss,val/total_loss,val/logvar,val/kl_loss,val/nll_loss,val/d_weight,val/disc_factor,val/g_loss,val/disc_loss,val/logits_real,val/logits_fake,valid_mse_epoch,valid_mae_epoch
,,10463,41.89277267456055,670.2843627929688,0.0,3341.45751953125,670.281005859375,0.04091070592403412,5000.0,0.0,1.0696669816970825,0.0,0.0,-1.0674914121627808,-1.0696669816970825,0,,,,,,,,,,,,,,,
,,10494,,,,,,,,,,,,,,0,55.190460205078125,0.0,,,,,,,,,,,,,
5.923435784851812e-07,5.923435784851812e-07,10790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10790,46.26148223876953,740.1837158203125,0.0,3153.430908203125,740.1805419921875,0.04517703503370285,5000.0,0.0,1.0741976499557495,0.0,0.0,-1.0997898578643799,-1.0741976499557495,1,,,,,,,,,,,,,,,
5.950878155872669e-07,5.950878155872669e-07,11117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11117,35.708160400390625,571.33056640625,0.0,3440.147216796875,571.3271484375,0.034871041774749756,2647.63037109375,0.0,1.0368155241012573,0.0,0.0,-1.0552924871444702,-1.0368155241012573,1,,,,,,,,,,,,,,,
5.979692645444567e-07,5.979692645444567e-07,11444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11444,33.90692138671875,542.5107421875,0.0,3184.38427734375,542.507568359375,0.03311203420162201,766.2069702148438,0.0,1.0236525535583496,0.0,0.0,-1.061030626296997,-1.0236525535583496,1,,,,,,,,,,,,,,,
6.007135016465423e-07,6.007135016465423e-07,11771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11771,25.705066680908203,411.28106689453125,0.0,3557.150634765625,411.2774963378906,0.025102386251091957,5000.0,0.0,1.02297842502594,0.0,0.0,-1.0288609266281128,-1.02297842502594,1,,,,,,,,,,,,,,,
