lr-AdamW,step,train_loss_step,train/mae_step,train/avg_gt_step,train/relative_mae_step,epoch,train_loss_epoch,train/mae_epoch,train/avg_gt_epoch,train/relative_mae_epoch,val_loss_step,val/mae_step,val/avg_gt_step,val/relative_mae_step,val_loss_epoch,val/mae_epoch,val/avg_gt_epoch,val/relative_mae_epoch
,33,,,,,,,,,,0.00043135759187862277,0.01848781108856201,0.053386859595775604,0.34629884362220764,,,,
,339,,,,,9,,,,,,,,,0.0007130199228413403,0.01914539746940136,0.07917174696922302,0.27984070777893066
,339,,,,,9,0.001032581552863121,0.020797640085220337,0.09669746458530426,0.217980295419693,,,,,,,,
0.00019854809437386573,362,,,,,,,,,,,,,,,,,
0.00019854809437386573,362,,,,,,,,,,,,,,,,,
0.00019854809437386573,362,,,,,,,,,,,,,,,,,
0.00019854809437386573,362,,,,,,,,,,,,,,,,,
,362,0.001127834664657712,0.029380781576037407,0.08987795561552048,0.3268963694572449,10,,,,,,,,,,,,
,373,,,,,10,0.0013498876942321658,0.025643574073910713,0.09669744223356247,0.2665049731731415,,,,,,,,
0.0002075317604355717,395,,,,,,,,,,,,,,,,,
0.0002075317604355717,395,,,,,,,,,,,,,,,,,
0.0002075317604355717,395,,,,,,,,,,,,,,,,,
0.0002075317604355717,395,,,,,,,,,,,,,,,,,
,395,0.0005713822320103645,0.017609838396310806,0.08825156092643738,0.1995413601398468,11,,,,,,,,,,,,
,407,,,,,11,0.0010795245179906487,0.021457074210047722,0.09669743478298187,0.2243494838476181,,,,,,,,
0.00021651542649727768,428,,,,,,,,,,,,,,,,,
0.00021651542649727768,428,,,,,,,,,,,,,,,,,
0.00021651542649727768,428,,,,,,,,,,,,,,,,,
0.00021651542649727768,428,,,,,,,,,,,,,,,,,
,428,0.002046487294137478,0.027376525104045868,0.09651480615139008,0.2836510241031647,12,,,,,,,,,,,,
,441,,,,,12,0.0009672754677012563,0.01940026506781578,0.09669743478298187,0.2017698884010315,,,,,,,,
0.0002254990925589837,461,,,,,,,,,,,,,,,,,
0.0002254990925589837,461,,,,,,,,,,,,,,,,,
0.0002254990925589837,461,,,,,,,,,,,,,,,,,
0.0002254990925589837,461,,,,,,,,,,,,,,,,,
,461,0.00265565887093544,0.03947370871901512,0.13095830380916595,0.3014219403266907,13,,,,,,,,,,,,
,475,,,,,13,0.002696787239983678,0.03705107420682907,0.09669741243124008,0.3870910704135895,,,,,,,,
0.00023448275862068967,494,,,,,,,,,,,,,,,,,
0.00023448275862068967,494,,,,,,,,,,,,,,,,,
0.00023448275862068967,494,,,,,,,,,,,,,,,,,
0.00023448275862068967,494,,,,,,,,,,,,,,,,,
,494,0.0007273860974237323,0.01844346523284912,0.08762776851654053,0.2104751020669937,14,,,,,,,,,,,,
,34,,,,,,,,,,0.0006352057098411024,0.01838824898004532,0.09195023030042648,0.19998043775558472,,,,
,35,,,,,,,,,,0.0005913396598771214,0.02097678743302822,0.039159953594207764,0.535669207572937,,,,
,36,,,,,,,,,,0.0004796414577867836,0.01871795766055584,0.07243724912405014,0.25840234756469727,,,,
,37,,,,,,,,,,0.0015236018225550652,0.027662230655550957,0.09695577621459961,0.2853076756000519,,,,
,38,,,,,,,,,,0.000560274173039943,0.020909911021590233,0.08865968883037567,0.23584459722042084,,,,
,39,,,,,,,,,,0.0004874862206634134,0.018442802131175995,0.05721943825483322,0.3223170340061188,,,,
,40,,,,,,,,,,0.00038745399797335267,0.015782037749886513,0.025477152317762375,0.6194581985473633,,,,
,41,,,,,,,,,,0.0003151351120322943,0.015096921473741531,0.06866084039211273,0.2198767066001892,,,,
,42,,,,,,,,,,0.0006436349358409643,0.020857077091932297,0.11188463866710663,0.186415895819664,,,,
,43,,,,,,,,,,0.0004998065996915102,0.017938736826181412,0.10694815963506699,0.16773299872875214,,,,
,44,,,,,,,,,,0.0007015286246314645,0.01983090117573738,0.08197197318077087,0.24192291498184204,,,,
,45,,,,,,,,,,0.00023347167007159442,0.012784358114004135,0.07832591235637665,0.16322001814842224,,,,
,46,,,,,,,,,,0.0006752972258254886,0.019736308604478836,0.07550571858882904,0.26138824224472046,,,,
,47,,,,,,,,,,0.0002949195622932166,0.014217282645404339,0.06541398167610168,0.21734315156936646,,,,
,48,,,,,,,,,,0.0010095604229718447,0.021596189588308334,0.1331549882888794,0.1621883511543274,,,,
,49,,,,,,,,,,0.0012175131123512983,0.02310621365904808,0.08672043681144714,0.2664448320865631,,,,
,50,,,,,,,,,,0.0002862295077648014,0.01429795566946268,0.053386859595775604,0.26781782507896423,,,,
,509,,,,,14,,,,,,,,,0.000629591173492372,0.01897253654897213,0.07917174696922302,0.2713521718978882
,509,,,,,14,0.0015385289443656802,0.026356859132647514,0.09669743478298187,0.2756319046020508,,,,,,,,
0.00024346642468239566,527,,,,,,,,,,,,,,,,,
0.00024346642468239566,527,,,,,,,,,,,,,,,,,
0.00024346642468239566,527,,,,,,,,,,,,,,,,,
0.00024346642468239566,527,,,,,,,,,,,,,,,,,
,527,0.0011904281564056873,0.02394670620560646,0.08879484981298447,0.2696857154369354,15,,,,,,,,,,,,
,543,,,,,15,0.0012002834118902683,0.022172609344124794,0.09669740498065948,0.23084570467472076,,,,,,,,
0.0002524500907441016,560,,,,,,,,,,,,,,,,,
0.0002524500907441016,560,,,,,,,,,,,,,,,,,
0.0002524500907441016,560,,,,,,,,,,,,,,,,,
0.0002524500907441016,560,,,,,,,,,,,,,,,,,
,560,0.002347193192690611,0.039094291627407074,0.09339457005262375,0.4185927212238312,16,,,,,,,,,,,,
,577,,,,,16,0.0020550056360661983,0.03275597468018532,0.09669744223356247,0.34549790620803833,,,,,,,,
0.0002614337568058076,593,,,,,,,,,,,,,,,,,
0.0002614337568058076,593,,,,,,,,,,,,,,,,,
0.0002614337568058076,593,,,,,,,,,,,,,,,,,
0.0002614337568058076,593,,,,,,,,,,,,,,,,,
,593,0.0008425984415225685,0.01784844882786274,0.09643322229385376,0.18508607149124146,17,,,,,,,,,,,,
,611,,,,,17,0.0007916316390037537,0.01722533442080021,0.09669742733240128,0.17939911782741547,,,,,,,,
0.0002704174228675136,626,,,,,,,,,,,,,,,,,
0.0002704174228675136,626,,,,,,,,,,,,,,,,,
0.0002704174228675136,626,,,,,,,,,,,,,,,,,
0.0002704174228675136,626,,,,,,,,,,,,,,,,,
,626,0.001876171096228063,0.04168591648340225,0.10964566469192505,0.3801875114440918,18,,,,,,,,,,,,
,645,,,,,18,0.0011629739310592413,0.022819066420197487,0.09669741243124008,0.23876309394836426,,,,,,,,
0.0002794010889292196,659,,,,,,,,,,,,,,,,,
0.0002794010889292196,659,,,,,,,,,,,,,,,,,
0.0002794010889292196,659,,,,,,,,,,,,,,,,,
0.0002794010889292196,659,,,,,,,,,,,,,,,,,
,659,0.00026790203992277384,0.014218899421393871,0.11037000268697739,0.12882937490940094,19,,,,,,,,,,,,
,51,,,,,,,,,,0.007585097104310989,0.0794634148478508,0.09195023030042648,0.8642001748085022,,,,
,52,,,,,,,,,,0.011038456112146378,0.08993208408355713,0.039159953594207764,2.2965314388275146,,,,
,53,,,,,,,,,,0.010059569031000137,0.0872860997915268,0.07243724912405014,1.204988956451416,,,,
,54,,,,,,,,,,0.01199539564549923,0.09562152624130249,0.09695577621459961,0.9862384796142578,,,,
,55,,,,,,,,,,0.007917964830994606,0.07818354666233063,0.08865968883037567,0.8818386197090149,,,,
,56,,,,,,,,,,0.009439930319786072,0.08474759757518768,0.05721943825483322,1.4810978174209595,,,,
,57,,,,,,,,,,0.014045669697225094,0.10117453336715698,0.025477152317762375,3.9711854457855225,,,,
,58,,,,,,,,,,0.008469893597066402,0.08248765766620636,0.06866084039211273,1.201378345489502,,,,
,59,,,,,,,,,,0.009671004489064217,0.08693917840719223,0.11188463866710663,0.7770429849624634,,,,
,60,,,,,,,,,,0.009453676640987396,0.08791336417198181,0.10694815963506699,0.8220183849334717,,,,
,61,,,,,,,,,,0.011704161763191223,0.09007012844085693,0.08197197318077087,1.0987915992736816,,,,
,62,,,,,,,,,,0.0076768770813941956,0.0778505951166153,0.07832591235637665,0.9939314126968384,,,,
,63,,,,,,,,,,0.0150416549295187,0.10898401588201523,0.07550571858882904,1.4433873891830444,,,,
,64,,,,,,,,,,0.008165890350937843,0.07797855883836746,0.06541398167610168,1.19207763671875,,,,
,65,,,,,,,,,,0.009091075509786606,0.08822324126958847,0.1331549882888794,0.6625604629516602,,,,
,66,,,,,,,,,,0.01157145481556654,0.08983411639928818,0.08672043681144714,1.0359046459197998,,,,
,67,,,,,,,,,,0.00750235840678215,0.07696937769651413,0.053386859595775604,1.4417285919189453,,,,
,679,,,,,19,,,,,,,,,0.010096841491758823,0.08756625652313232,0.07917174696922302,1.3114006519317627
,679,,,,,19,0.0009387098252773285,0.018608257174491882,0.09669744223356247,0.19322015345096588,,,,,,,,
0.00028838475499092566,692,,,,,,,,,,,,,,,,,
0.00028838475499092566,692,,,,,,,,,,,,,,,,,
0.00028838475499092566,692,,,,,,,,,,,,,,,,,
0.00028838475499092566,692,,,,,,,,,,,,,,,,,
,692,0.005894948728382587,0.054511696100234985,0.11672292649745941,0.46701785922050476,20,,,,,,,,,,,,
,713,,,,,20,0.004158672410994768,0.046520404517650604,0.09669744223356247,0.48467209935188293,,,,,,,,
0.0002973684210526316,725,,,,,,,,,,,,,,,,,
0.0002973684210526316,725,,,,,,,,,,,,,,,,,
0.0002973684210526316,725,,,,,,,,,,,,,,,,,
0.0002973684210526316,725,,,,,,,,,,,,,,,,,
,725,0.001318890368565917,0.026940425857901573,0.09766702353954315,0.27583950757980347,21,,,,,,,,,,,,
,747,,,,,21,0.0020415231119841337,0.03210518881678581,0.09669741243124008,0.3378467857837677,,,,,,,,
0.0003063520871143376,758,,,,,,,,,,,,,,,,,
0.0003063520871143376,758,,,,,,,,,,,,,,,,,
0.0003063520871143376,758,,,,,,,,,,,,,,,,,
0.0003063520871143376,758,,,,,,,,,,,,,,,,,
,758,0.0021032928489148617,0.03401219844818115,0.11996396631002426,0.2835201025009155,22,,,,,,,,,,,,
,781,,,,,22,0.0014287950471043587,0.025484852492809296,0.09669743478298187,0.2672994136810303,,,,,,,,
0.0003153357531760436,791,,,,,,,,,,,,,,,,,
0.0003153357531760436,791,,,,,,,,,,,,,,,,,
0.0003153357531760436,791,,,,,,,,,,,,,,,,,
0.0003153357531760436,791,,,,,,,,,,,,,,,,,
,791,0.0012723588151857257,0.019873853772878647,0.11432471871376038,0.1738368719816208,23,,,,,,,,,,,,
,815,,,,,23,0.001086086267605424,0.020836181938648224,0.09669744968414307,0.21679562330245972,,,,,,,,
0.00032431941923774955,824,,,,,,,,,,,,,,,,,
0.00032431941923774955,824,,,,,,,,,,,,,,,,,
0.00032431941923774955,824,,,,,,,,,,,,,,,,,
0.00032431941923774955,824,,,,,,,,,,,,,,,,,
,824,0.0003765223082154989,0.012763756327331066,0.07156358659267426,0.17835544049739838,24,,,,,,,,,,,,
,68,,,,,,,,,,0.0008527307654730976,0.02095857635140419,0.09195023030042648,0.22793389856815338,,,,
